pid,label,localisation,latitude,longitude,country,city,inventory,juz,sura_number,sura_title_arabic,sura_title_english,verse_recto,verse_verso,bibliography,link,comments,acquisition,latest_acquisition_date,price,provenance,order,layout,collection,thumbnail,full,manifest
f003,"Blue Qur'an, Sura Al-Baqara, 20-26, Private Collection",Private Collection,Unknown,Unknown,Unknown,Unknown,Unknown,1,2,Al-Baqara,The Cow,20,26,Sotheby's 2019,https://www.sothebys.com/en/buy/auction/2019/arts-of-the-islamic-world/a-large-quran-leaf-in-gold-kufic-script-on-blue,middle of v.20 to end of v.26,Purchased,2019,"Estimate: 400,000 - 600,000 GBP",Sotheby's 2019,000,qatar_item,bluequran,/img/derivatives/simple/f003_f003_v/thumbnail.jpg,/img/derivatives/simple/f003_f003_v/fullwidth.jpg,/img/derivatives/iiif/f003/manifest.json
f004,"Blue Qur'an, Sura Al-Baqara, 26-30, Private Collection",Private Collection,Unknown,Unknown,Unknown,Unknown,Unknown,1,2,Al-Baqara,The Cow,26,30,"Christie's, 25 November 1985, lot 83
George 2009","","",Purchased,1985,Unknown,"Christie's, 25 November 1985, lot 83",001,qatar_item,bluequran,/img/derivatives/simple/f004/thumbnail.jpg,/img/derivatives/simple/f004/fullwidth.jpg,""
f006,"Blue Qur'an, Sura Al-Baqara, 34-41, Museum of Islamic Art",Museum of Islamic Art,25.2953759,51.5394407,Qatar,Doha,Ms.8.2006,1,2,Al-Baqara,The Cow,34,41,"Sotheby's 2006
Jodidio 2008: no. 5
George 2009","
https://www.sothebys.com/en/auctions/ecatalogue/2006/arts-of-the-islamic-world-l06222/lot.3.html",surat al-baqqara (ii) vv.34-41,Purchased,2006,Unknown,Sotheby's 2006,002,qatar_item,bluequran,/img/derivatives/simple/f006_f006_r/thumbnail.jpg,/img/derivatives/simple/f006_f006_r/fullwidth.jpg,/img/derivatives/iiif/f006/manifest.json
f009,"Blue Qur'an, Sura Al-Baqara, 60-65, Chester Beatty Library",Chester Beatty Library,53.3422356,-6.2672762,Ireland,Dublin,Is 1405A,1,2,Al-Baqara,The Cow,60,65,"James 1980: no.9
George 2009",https://viewer.cbl.ie/viewer/image/Is_1405A/1/LOG_0000/,"2 folios in modern binding 
non-sequential folios from the Blue Qur'an, 2:60-65 (fol. 1) and 2:93-101 (fol. 2)",Purchased,1929,Unknown,"purchased from Aslan Sarkissian in Cairo, 1929.",003,qatar_item,bluequran,/img/derivatives/simple/f009_f009_v/thumbnail.jpg,/img/derivatives/simple/f009_f009_v/fullwidth.jpg,/img/derivatives/iiif/f009/manifest.json
f011,"Blue Qur'an, Sura Al-Baqara, 69-74, Chester Beatty Library",Chester Beatty Library,53.3422356,-6.2672762,Ireland,Dublin,Is 1405B,1,2,Al-Baqara,The Cow,69,74,"James 1980: no.9
George 2009",https://viewer.cbl.ie/viewer/image/Is_1405A/1/LOG_0000/,1 folio,Purchased,1929,Unknown,"",004,qatar_item,bluequran,/img/derivatives/simple/f011/thumbnail.jpg,/img/derivatives/simple/f011/fullwidth.jpg,""
f012,"Blue Qur'an, Sura Al-Baqara, 74-81, The Rose Trust",The Rose Trust,Unknown,Unknown,Unknown,Unknown,Unknown,1,2,Al-Baqara,The Cow,74,81,"Sotheby's, 24 October 2007, lot 7
Christie's 2018",https://rubinmuseum.org/events/exhibitions/illuminated,"https://www.sothebys.com/en/auctions/ecatalogue/2007/arts-of-the-islamic-world-including-fine-carpets-and-textiles-l07222/lot.7.html

https://www.christies.com/en/lot/lot-6162814",Purchased,2018,"GBP 512,750","Sotheby's, 24 October 2007, lot 7
Christie's 2018",005,qatar_item,bluequran,/img/derivatives/simple/f012_f012_v/thumbnail.jpg,/img/derivatives/simple/f012_f012_v/fullwidth.jpg,/img/derivatives/iiif/f012/manifest.json
f015,"Blue Qur'an, Sura Al-Baqara, 93-101, Chester Beatty Library",Chester Beatty Library,53.3422356,-6.2672762,Ireland,Dublin,Is 1405A,1,2,Al-Baqara,The Cow,93,101,"James 1980: no. 9
George 2009",https://viewer.cbl.ie/viewer/image/Is_1405A/1/LOG_0000/,"2 folios in modern binding 
non-sequential folios from the Blue Qur'an, 2:60-65 (fol. 1) and 2:93-101 (fol. 2)",Purchased,1929,Unknown,"purchased from Aslan Sarkissian in Cairo, 1929. ",006,qatar_item,bluequran,/img/derivatives/simple/f015_f015_v/thumbnail.jpg,/img/derivatives/simple/f015_f015_v/fullwidth.jpg,/img/derivatives/iiif/f015/manifest.json
f020,"Blue Qur'an, Sura Al-Baqara, 120-127, Khalili Collections",Khalili Collections,51.5072178,-0.1275862,United Kingdom,London,KFQ 53,1,2,Al-Baqara,The Cow,120,127,"Déroche 1992: no. 4
George 2009",https://www.khalilicollections.org/collections/islamic-art/khalili-collections-islamic-art-two-folios-from-the-blue-quran-kfq53/,"",Purchased,"",Unknown,"",007,qatar_item,bluequran,/img/derivatives/simple/f020_f020_v/thumbnail.jpg,/img/derivatives/simple/f020_f020_v/fullwidth.jpg,/img/derivatives/iiif/f020/manifest.json
f027,"Blue Qur'an, Sura Al-Baqara, 164-170, Al Thani Collection",Al Thani Collection,25.2854473,51.5310398,Qatar,Doha,Unknown,2,2,Al-Baqara,The Cow,164,170,"",https://www.thealthanicollection.com/fr/recently-shown-highlights/folio-from-the-blue-quran,"",Purchased,"",Unknown,"",008,qatar_item,bluequran,/img/derivatives/simple/f027/thumbnail.jpg,/img/derivatives/simple/f027/fullwidth.jpg,/img/derivatives/iiif/f027/manifest.json
f030,"Blue Qur'an, Sura Al-Baqara, 178-181, Private Collection",Private Collection,Unknown,Unknown,Unknown,Unknown,Unknown,2,2,Al-Baqara,The Cow,178,181,"Sotheby's 1997
George 2009","","",Purchased,1997,Unknown,Sotheby's 1997,009,qatar_item,bluequran,/img/derivatives/simple/f030/thumbnail.jpg,/img/derivatives/simple/f030/fullwidth.jpg,""
